$id,$type,AdditionalRunsNotFromBat,Runs,CatcherUserId,BatsmanId
105701604,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
299992117,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
592892816,live_scoring_core.events.outdoor_cricket.ball_results.Caught,NA,NA,148605,NA
359743516,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
32285890,live_scoring_core.events.outdoor_cricket.ball_results.Wide,0,NA,NA,NA
695554194,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
425848722,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,6,NA,NA
288273807,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,4,NA,NA
635103985,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
279554265,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
147848101,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,4,NA,NA
147792745,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,2,NA,NA
1057893210,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,4,NA,NA
731023468,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,4,NA,NA
604202431,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
676294589,live_scoring_core.events.outdoor_cricket.ball_results.Bowled,NA,NA,NA,NA
906744373,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
628176743,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
362610808,live_scoring_core.events.outdoor_cricket.ball_results.NoBall,0,NA,NA,NA
764797648,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
1067591181,live_scoring_core.events.outdoor_cricket.ball_results.NoBall,0,NA,NA,NA
343959284,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,4,NA,NA
564767010,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,4,NA,NA
969577117,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
559441500,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
740688249,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,6,NA,NA
323511780,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
289806082,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
913226590,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,2,NA,NA
505462561,live_scoring_core.events.outdoor_cricket.ball_results.DotBall,NA,NA,NA,NA
1040563805,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,4,NA,NA
81663507,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
133257405,live_scoring_core.events.outdoor_cricket.ball_results.Caught,NA,NA,211993,NA
1027047314,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
612757013,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,1,NA,NA
954575436,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,2,NA,NA
742558262,live_scoring_core.events.outdoor_cricket.ball_results.Runs,NA,4,NA,NA
