$id,$type,BattingFirstTeamId,BowlingFirstTeamId,FirstInningsOvers,SecondInningsOvers,PitchCondition,Id,TimeStamp,BattingTeamId,BowlingTeamId,StrikerId,NonStrikerId,BowlerId,KeeperId,NewBowlerId,BatsmanId,NewBatsmanId,NewFielderId,NewKeeperId
120465510,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,d790ae8f-867a-4c71-a2b0-563363581329,2021-02-25T07:08:18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242875393,live_scoring_core.events.outdoor_cricket.NewOverStarted,NA,NA,NA,NA,NA,e286959f-68f6-4f0f-b773-73de8e369049,2021-02-25T07:08:36,NA,NA,NA,NA,264833,NA,NA,NA,NA,NA,NA
375403969,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,d81dd9e6-5b06-4651-9eab-e83523a69c6d,2021-02-25T07:09:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190807840,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,3200808b-e138-4de3-9457-48203a1f82cc,2021-02-25T07:09:49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
724272116,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,1adcf7b1-1d52-43dc-a750-162739c685cd,2021-02-25T07:10:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75619395,live_scoring_core.events.outdoor_cricket.BatsmanRetired,NA,NA,NA,NA,NA,d5f52f99-20e2-4250-8741-0e447c5a0904,2021-02-25T07:10:25,NA,NA,NA,NA,NA,NA,NA,239859,NA,NA,NA
402341645,live_scoring_core.events.outdoor_cricket.NewBatsmanSelected,NA,NA,NA,NA,NA,022b019f-0596-45ab-addb-2db1c9956820,2021-02-25T07:10:28,NA,NA,NA,NA,NA,NA,NA,NA,239863,NA,NA
691345208,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,382da660-559d-4427-a642-6c1375ebe836,2021-02-25T07:10:58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310276816,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,5f8e3c0d-8e7e-4d27-9c7a-2f752cafe0f6,2021-02-25T07:11:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1073375964,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,0dd5c202-4c20-4b1e-b463-2fa51d0a44a5,2021-02-25T07:11:34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232751498,live_scoring_core.events.outdoor_cricket.NewOverStarted,NA,NA,NA,NA,NA,48451b39-804b-4d62-95fa-c90899bef7d4,2021-02-25T07:11:48,NA,NA,NA,NA,244413,NA,NA,NA,NA,NA,NA
747028356,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,3e0c8921-383e-4d65-974c-c82b525dd7a5,2021-02-25T07:12:23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
683347833,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,0cb183f8-ec1d-4667-816d-0dc19c25c35f,2021-02-25T07:12:44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1070955683,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,fdd83bfd-1731-4821-9117-aa836f9d2cef,2021-02-25T07:13:04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478919655,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,dba46313-20e4-4e13-ae76-54b12e573008,2021-02-25T07:13:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
351411896,live_scoring_core.events.outdoor_cricket.BallBowled,NA,NA,NA,NA,NA,b149acab-dffc-4771-a6bb-46a35df94ca3,2021-02-25T07:13:49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
